OrderID,CustomerID,ProductID,OrderDate,Quantity,TotalAmount
ORD02741,CUST01245,PROD00975,2021-12-30,3,80.73
ORD01307,CUST02253,PROD00001,2019-03-17,7,661.88
ORD01601,CUST02102,PROD01627,2021-05-09,5,279.24
ORD02621,CUST01033,PROD01986,22/10/2021,4,229.43
ORD02029,CUST01361,PROD00265,10-30-2024,8,667.21
ORD01950,CUST01499,PROD00332,2022-08-16,10,580.54
ORD02718,CUST00963,PROD00789,13/11/2023,2,41.05
ORD00184,CUST01600,PROD01030,28/08/2019,7,620.93
ORD02400,CUST00270,PROD01288,2019-03-15,8,180.48
ORD00194,CUST01898,PROD00012,2020-06-13,8,451.67
ORD02798,CUST01452,PROD00324,29/04/2021,1,64.02
ORD01195,CUST01699,PROD00621,2024-01-13,10,933.33
ORD01406,CUST00224,PROD01185,11-21-2022,5,177.65
ORD00314,CUST01346,PROD00286,2021-10-29,3,207.93
ORD00102,CUST00358,PROD00393,21/07/2024,4,278.76
ORD01437,CUST01669,PROD01260,2022-08-12,4,99.91
ORD02959,CUST01109,PROD00412,29/12/2021,4,142.13
ORD01221,CUST01274,PROD00566,25/10/2019,-1,inconsistent
ORD02935,CUST01646,PROD01982,02-26-2020,8,113.81
ORD00705,CUST02315,PROD00188,2019-12-27,10,317.76
ORD02234,CUST02038,PROD01179,2024-11-05,9,515.64
ORD01973,CUST00499,PROD01985,27/09/2024,3,252.88
ORD01517,CUST02484,PROD00772,03-29-2021,-1,inconsistent
ORD02976,CUST01803,PROD00451,12-20-2019,9,706.18
ORD02232,CUST01919,PROD01925,20/10/2024,2,169.3
ORD00178,CUST01239,PROD00204,03-05-2023,10,868.89
ORD02030,CUST00104,PROD01733,2023-10-24,1,60.62
ORD02926,CUST01756,PROD01887,11-14-2022,6,401.03
ORD00611,CUST01791,PROD00984,2020-09-15,3,80.12
ORD00679,CUST02352,PROD00757,2023-09-24,3,290.94
ORD00152,CUST00985,PROD00370,27/01/2021,2,64.07
ORD02484,CUST02417,PROD01292,07-04-2022,10,902.56
ORD01025,CUST02286,PROD00002,02/06/2019,10,295.07
ORD00907,CUST00730,PROD00750,26/06/2024,6,210.3
ORD00254,CUST00073,PROD00880,09-09-2020,10,222.61
ORD02416,CUST00781,PROD01063,30/08/2022,7,693.07
ORD02332,CUST01885,PROD01670,2021-04-02,5,456.91
ORD00346,CUST01382,PROD01313,2022-07-04,9,319.16
ORD00299,CUST00874,PROD00625,2019-07-13,3,119.35
ORD02045,CUST01335,PROD00841,02-07-2019,1,27.83
ORD01295,CUST00297,PROD01882,12-21-2022,5,277.74
ORD01357,CUST02351,PROD00065,2024-01-11,-1,inconsistent
ORD01422,CUST00934,PROD01557,12-16-2021,8,601.22
ORD02482,CUST01519,PROD01178,2020-01-20,5,347.21
ORD00139,CUST00666,PROD00109,20/04/2022,4,258.54
ORD02603,CUST00235,PROD01890,12-10-2023,1,63.4
ORD00246,CUST02420,PROD00514,2021-12-27,7,550.19
ORD00900,CUST02201,PROD01448,27/04/2020,7,86.63
ORD02130,CUST01066,PROD01412,2019-10-27,5,214.96
ORD01681,CUST00119,PROD00370,2022-04-16,3,252.26
ORD02334,CUST01911,PROD01347,08-03-2019,8,644.56
ORD00889,CUST00207,PROD00288,15/02/2022,4,392.15
ORD01268,CUST01382,PROD01039,31/10/2020,-1,inconsistent
ORD01926,CUST00192,PROD01762,2022-06-21,6,202.98
ORD01620,CUST00201,PROD01617,08-15-2022,5,335.48
ORD00700,CUST01113,PROD01836,2020-03-28,8,187.85
ORD01061,CUST00268,PROD00881,2019-02-14,10,813.89
ORD00485,CUST01217,PROD01505,2024-02-02,7,311.93
ORD01356,CUST01170,PROD00695,2019-03-09,4,340.61
ORD02310,CUST00232,PROD01087,29/10/2021,4,84.94
ORD02181,CUST01241,PROD00759,05/06/2023,-1,inconsistent
ORD00761,CUST00383,PROD01273,09/02/2023,3,214.71
ORD00746,CUST00396,PROD01150,2024-04-19,3,143.02
ORD00321,CUST00692,PROD00584,2024-05-10,4,319.55
ORD02707,CUST00702,PROD00249,06-02-2021,8,300.69
ORD00188,CUST00200,PROD01092,01/08/2024,1,97.09
ORD00772,CUST02005,PROD00887,12-18-2023,8,640.92
ORD02496,CUST01891,PROD01694,04-30-2020,7,621.24
ORD01451,CUST00600,PROD01161,02-07-2019,3,170.69
ORD02354,CUST01792,PROD00230,2021-09-28,4,70.98
ORD00410,CUST01898,PROD01767,2021-12-25,-1,inconsistent
ORD01727,CUST00298,PROD00640,30/08/2023,-1,inconsistent
ORD02852,CUST00583,PROD00797,09-16-2023,9,145.87
ORD02216,CUST00739,PROD01918,2022-09-14,10,914.1
ORD01398,CUST00757,PROD01986,23/09/2020,10,719.13
ORD01361,CUST01045,PROD01957,2023-11-13,2,96.3
ORD01657,CUST00747,PROD00382,2023-12-17,4,87.94
ORD00051,CUST01784,PROD00512,2023-05-08,7,510.93
ORD01624,CUST00195,PROD01755,12/06/2019,1,27.24
ORD00063,CUST01992,PROD01516,05-14-2019,4,56.15
ORD02789,CUST00616,PROD01645,14/11/2024,2,179.15
ORD02553,CUST01128,PROD00093,06-22-2022,8,382.33
ORD02530,CUST02427,PROD01600,,8,227.57
ORD01090,CUST01452,PROD01162,05-01-2024,8,777.46
ORD01465,CUST01973,PROD01182,09-04-2024,6,500.15
ORD01896,CUST02293,PROD00728,2019-05-19,9,112.95
ORD00052,CUST01662,PROD00366,07-01-2021,9,872.49
ORD02807,CUST01749,PROD00278,18/11/2020,9,109.8
ORD02763,CUST00191,PROD01880,04-21-2023,2,59.07
ORD02551,CUST01479,PROD01999,09-26-2021,9,299.44
ORD02864,CUST02350,PROD01273,09-18-2021,3,175.69
ORD00544,CUST01410,PROD01067,2020-12-04,2,67.79
ORD02948,CUST02239,PROD01172,,8,503.36
ORD00450,CUST01228,PROD01409,30/04/2023,1,30.93
ORD02515,CUST01131,PROD00389,12-20-2020,8,202.64
ORD00044,CUST00332,PROD00616,2023-05-24,7,188.19
ORD01001,CUST00965,PROD01110,2023-07-20,4,103.88
ORD01831,CUST01560,PROD01435,20/09/2021,4,96.53
ORD00829,CUST00444,PROD00030,27/08/2020,9,579.49
ORD00598,CUST02125,PROD00092,07-06-2024,3,35.86
ORD00408,CUST00030,PROD01756,09-06-2022,3,179.0
ORD02917,CUST00678,PROD00995,10/09/2023,-1,inconsistent
ORD00256,CUST02413,PROD01426,06-24-2023,2,93.3
ORD02028,CUST01753,PROD00388,05/05/2022,1,80.66
ORD02303,CUST00378,PROD01093,05-05-2021,10,659.82
ORD01837,CUST00511,PROD01504,31/12/2021,8,100.99
ORD01702,CUST00063,PROD01173,29/04/2021,7,297.59
ORD02490,CUST01008,PROD00261,2020-01-27,3,258.85
ORD01662,CUST01719,PROD01822,27/07/2022,9,193.6
ORD00144,CUST01255,PROD00871,,3,289.04
ORD02090,CUST02225,PROD00173,02-24-2022,8,322.01
ORD01292,CUST01582,PROD01468,2022-11-22,7,165.85
ORD02155,CUST01920,PROD01382,,10,498.12
ORD00416,CUST02299,PROD01054,2020-04-12,10,143.64
ORD00929,CUST00047,PROD01183,15/07/2021,8,563.14
ORD02022,CUST00728,PROD00619,16/08/2022,2,153.51
ORD00170,CUST02372,PROD00137,2024-10-07,2,78.74
ORD01125,CUST01358,PROD01660,02/03/2019,10,231.32
ORD00567,CUST02376,PROD01058,2022-07-17,1,77.37
ORD01590,CUST00672,PROD00497,11-10-2024,1,97.66
ORD02673,CUST00201,PROD01706,2019-05-31,3,279.87
ORD00134,CUST00916,PROD01236,2023-03-19,-1,inconsistent
